#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-08-29T15:01:58 [V7.32.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-08-29T15:01:58	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=Vmag
#Vmag=<=8
#-out=B-V
#HIPep=HIPep
#Erratum=Erratum
#-out=_RA.icrs
#_RA.icrs=!null
#-out=_DE.icrs
#_DE.icrs=!null
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.4	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	
#INFO	publisher=CDS	
#INFO	creator=ESA 1997	
#INFO	related_resource=bibcode:1997HIP...C......0E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	
#INFO	publication_date=2021-11-18	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
_RAJ2000	_DEJ2000	HIP	Vmag	B-V	_RA.icrs	_DE.icrs
000.3465944710	+06.7914698742	   109	 7.23	 0.388	000.34659447	+06.79146987
000.3716470206	+30.7357853733	   114	 7.95	 0.654	000.37164702	+30.73578537
000.3725848359	-62.9231304264	   115	 7.46	 0.160	000.37258484	-62.92313043
000.3901660249	+44.6754011607	   119	 6.82	 1.071	000.39016602	+44.67540116
000.3964246310	+28.4236912780	   121	 6.83	 1.197	000.39642463	+28.42369128
000.3987655417	-77.0657244661	   122	 4.78	 1.254	000.39876554	-77.06572447
000.3998847465	+72.2366152800	   123	 7.21	 1.169	000.39988475	+72.23661528
000.4042312331	+61.2228008031	   124	 5.58	 0.407	000.40423123	+61.22280080
000.4144154784	+73.6118465973	   128	 6.50	 0.182	000.41441548	+73.61184660
000.4234760593	-40.1487020394	   133	 6.62	 0.545	000.42347606	-40.14870204
000.4286915781	+24.2531127201	   136	 6.60	 1.153	000.42869158	+24.25311272
000.4327060603	+42.3671439079	   137	 6.25	-0.042	000.43270606	+42.36714391
000.4374442822	-16.5316612038	   138	 7.83	 1.074	000.43744428	-16.53166120
000.4537773294	+66.3060319601	   142	 7.33	 0.730	000.45377733	+66.30603196
000.4560351217	-03.0275038232	   145	 5.13	-0.128	000.45603512	-03.02750382
000.4803049035	-37.2299527373	   150	 7.04	 1.060	000.48030490	-37.22995274
000.4848741427	-41.6137744619	   151	 7.78	 0.411	000.48487414	-41.61377446
000.4900789996	-06.0140721205	   154	 4.37	 1.631	000.49007900	-06.01407212
000.5008459972	-37.9018778865	   158	 7.09	 0.999	000.50084600	-37.90187789
000.5109068553	-02.7661707649	   159	 6.93	 0.292	000.51090686	-02.76617076
000.5191360406	+59.9401016991	   164	 7.98	 0.970	000.51913604	+59.94010170
000.5423132141	+27.0822560340	   171	 5.80	 0.690	000.54231321	+27.08225603
000.5524079057	+49.7710861297	   175	 7.84	 0.923	000.55240791	+49.77108613
000.5680682788	-27.1351529377	   178	 7.97	 0.556	000.56806828	-27.13515294
000.5695149635	-13.4074374454	   179	 6.90	 0.534	000.56951496	-13.40743745
000.5737724134	+60.7031677424	   181	 6.77	 1.832	000.57377241	+60.70316774
000.5830027756	-29.7204140222	   183	 5.04	-0.150	000.58300278	-29.72041402
000.6006957793	+08.9568236104	   186	 6.33	 0.182	000.60069578	+08.95682361
000.6237594849	+08.4854630885	   194	 5.70	 0.315	000.62375948	+08.48546309
000.6257810606	+47.4228902175	   195	 7.62	 0.517	000.62578106	+47.42289022
000.6350042732	+16.2565648242	   199	 7.24	 0.074	000.63500427	+16.25656482
000.6503624068	+66.0989661808	   207	 5.87	 1.073	000.65036241	+66.09896618
000.6602081349	+66.1003993437	   209	 7.20	 0.085	000.66020813	+66.10039934
000.6670305259	+51.4724006514	   213	 7.70	 1.003	000.66703053	+51.47240065
000.6741995959	+82.9732020681	   217	 7.29	 0.118	000.67419960	+82.97320207
000.6768830916	+42.9206486607	   216	 7.94	 0.016	000.67688309	+42.92064866
000.6917807134	+35.8154671668	   220	 7.52	 0.180	000.69178071	+35.81546717
000.6938996833	+80.2822831190	   221	 7.74	 0.483	000.69389968	+80.28228312
000.6965625767	+02.1301546604	   223	 7.17	 0.617	000.69656258	+02.13015466
000.7102664306	+28.2519049355	   228	 7.64	 0.532	000.71026643	+28.25190494
000.7395338130	-20.0458821274	   238	 6.25	 0.526	000.73953381	-20.04588213
000.7522305809	-34.7439394736	   242	 7.76	 0.967	000.75223058	-34.74393947
000.7533493924	-60.6919007693	   243	 7.82	 1.041	000.75334939	-60.69190077
000.7588705542	+39.9951444964	   244	 7.90	 0.668	000.75887055	+39.99514450
000.7827304540	-24.1451455119	   253	 6.46	 1.176	000.78273045	-24.14514551
000.7847780789	+42.7479077166	   254	 6.73	 0.051	000.78477808	+42.74790772
000.7946638786	-24.5882582487	   255	 7.96	 0.421	000.79466388	-24.58825825
000.8054770732	+17.5522684765	   258	 6.59	 1.122	000.80547707	+17.55226848
000.8498682851	+73.1744968151	   270	 7.36	 0.146	000.84986829	+73.17449682
000.8571361594	+63.6405198621	   274	 6.24	 0.332	000.85713616	+63.64051986
000.8580604624	+20.6655295987	   276	 7.49	 0.636	000.85806046	+20.66552960
000.8594974927	-36.2511927412	   277	 6.96	 0.353	000.85949749	-36.25119274
000.8631152281	+55.5509004072	   278	 7.94	-0.023	000.86311523	+55.55090041
000.8764272831	+19.3814960368	   282	 7.92	 1.408	000.87642728	+19.38149604
000.8771180026	+12.3568205503	   283	 7.45	 0.353	000.87711800	+12.35682055
000.8890847062	+42.3521060611	   288	 7.90	 1.071	000.88908471	+42.35210606
000.9043801323	-31.0941366047	   290	 7.78	 0.563	000.90438013	-31.09413660
000.9170990771	+03.9069733887	   294	 7.89	 0.401	000.91709908	+03.90697339
000.9243515795	+48.4369067637	   297	 6.80	 0.060	000.92435158	+48.43690676
000.9349576155	-17.3359877144	   301	 4.55	-0.047	000.93495762	-17.33598771
000.9351589261	+42.0235222370	   300	 7.45	 0.244	000.93515893	+42.02352224
000.9651623921	+66.7121829210	   302	 6.31	 1.629	000.96516239	+66.71218292
000.9723076615	-28.3938122720	   305	 7.66	 0.741	000.97230766	-28.39381227
000.9837388564	+14.3788642483	   308	 7.09	 0.303	000.98373886	+14.37886425
001.0010411583	+12.1457970814	   316	 7.26	 0.355	001.00104116	+12.14579708
001.0033302851	-80.3951153803	   317	 7.91	 0.314	001.00333029	-80.39511538
001.0351047168	+56.9209833783	   322	 7.65	 0.992	001.03510472	+56.92098338
001.0426977435	+49.8701806697	   323	 7.38	 1.003	001.04269774	+49.87018067
001.0495922076	-30.1349128373	   328	 7.09	-0.085	001.04959221	-30.13491284
001.0569269456	+62.2876637007	   330	 5.90	 0.274	001.05692695	+62.28766370
001.0666317831	+65.1529867667	   336	 7.59	 1.680	001.06663178	+65.15298677
001.0824751745	-16.5290361795	   343	 5.78	 1.084	001.08247517	-16.52903618
001.0846558496	-29.2688216989	   345	 6.38	 0.006	001.08465585	-29.26882170
001.0887296427	+54.2745911471	   347	 7.79	-0.089	001.08872964	+54.27459115
001.0954520636	-29.3815728951	   349	 7.77	-0.058	001.09545206	-29.38157290
001.1254937566	-10.5095233050	   355	 4.99	 1.619	001.12549376	-10.50952330
001.1272875350	-72.8973206687	   357	 7.33	 0.444	001.12728753	-72.89732067
001.1524446817	+42.0925305390	   365	 6.11	 0.159	001.15244468	+42.09253054
001.1561261100	+02.9372280814	   368	 7.90	 1.249	001.15612611	+02.93722808
001.1594397270	-51.5833289425	   370	 7.13	 1.260	001.15943973	-51.58332894
001.1662028051	-70.4042603144	   372	 7.46	 1.072	001.16620281	-70.40426031
001.1669979724	+34.2651241297	   374	 7.02	 1.100	001.16699797	+34.26512413
001.1721174563	-71.4368914540	   377	 5.59	-0.100	001.17211746	-71.43689145
001.1719379543	+14.9652334933	   378	 7.37	 0.422	001.17193795	+14.96523349
001.1749216281	+67.1664454561	   379	 5.68	 1.051	001.17492163	+67.16644546
001.2167156847	+30.0858497890	   392	 7.93	 0.478	001.21671568	+30.08584979
001.2240005741	+34.6597968154	   394	 6.09	 0.632	001.22400057	+34.65979682
001.2246140781	-31.9966532971	   396	 7.83	 1.256	001.22461408	-31.99665330
001.2290690839	+58.5321665311	   398	 6.61	 0.025	001.22906908	+58.53216653
001.2333354267	+26.6487642880	   399	 6.25	 1.368	001.23333543	+26.64876429
001.2346711224	+23.2696292791	   400	 7.82	 0.755	001.23467112	+23.26962928
001.2396770401	+45.6737933018	   404	 7.47	 0.550	001.23967704	+45.67379330
001.2549552245	+27.6747838211	   410	 6.47	 0.946	001.25495522	+27.67478382
001.2609729315	-36.0151208139	   413	 7.73	 0.537	001.26097293	-36.01512081
001.2659281589	-00.5030354918	   417	 6.32	 1.099	001.26592816	-00.50303549
001.2756246682	+61.3139701244	   418	 5.80	-0.067	001.27562467	+61.31397012
001.2812298662	-52.1517411500	   420	 7.53	 0.577	001.28122987	-52.15174115
001.2868045041	+67.8400035417	   422	 7.41	 1.288	001.28680450	+67.84000354
001.2884619690	+30.3290316733	   423	 7.80	 0.437	001.28846197	+30.32903167
001.2906591833	+45.2290292952	   424	 6.71	 0.068	001.29065918	+45.22902930
001.2927633136	-32.4686718721	   430	 7.10	 1.128	001.29276331	-32.46867187
001.3041876250	+35.5710120371	   432	 6.88	 0.174	001.30418762	+35.57101204
001.3269976946	-01.7940850961	   438	 7.95	 0.991	001.32699769	-01.79408510
001.3330190710	+68.8844332109	   440	 7.08	-0.006	001.33301907	+68.88443321
001.3331959087	-38.8571522539	   441	 6.93	 0.940	001.33319591	-38.85715225
001.3339204803	-05.7076181993	   443	 4.61	 1.029	001.33392048	-05.70761820
001.3402721757	-56.9556488559	   445	 7.42	 0.191	001.34027218	-56.95564886
001.3426079702	-79.2537515854	   446	 7.71	 1.093	001.34260797	-79.25375159
001.3426627843	+03.6060917832	   448	 6.91	 1.120	001.34266278	+03.60609178
001.3561051891	-03.8516733435	   453	 7.59	 1.045	001.35610519	-03.85167334
001.3600790572	-14.4221917786	   454	 7.39	 0.990	001.36007906	-14.42219178
001.3655760642	-37.3025363185	   456	 7.78	 1.123	001.36557606	-37.30253632
001.3667458945	-42.8873873454	   457	 7.47	 1.620	001.36674589	-42.88738735
001.3676763226	-07.6654202751	   458	 6.97	 1.444	001.36767632	-07.66542028
001.3710248807	+34.1057202983	   461	 7.86	 0.494	001.37102488	+34.10572030
001.3798469249	-09.6174702815	   462	 7.13	 0.446	001.37984692	-09.61747028
001.3955423374	+53.1716936869	   466	 7.23	 1.174	001.39554234	+53.17169369
001.3989865869	-61.3098726462	   468	 7.36	 0.993	001.39898659	-61.30987265
001.4010779015	-51.2604913317	   469	 7.36	 1.444	001.40107790	-51.26049133
001.4155356314	+55.7098978764	   472	 6.99	 1.187	001.41553563	+55.70989788
001.4248387927	+13.3962664471	   476	 5.55	 0.901	001.42483879	+13.39626645
001.4351906389	+17.8402904431	   482	 7.75	 0.414	001.43519064	+17.84029044
001.4689352882	-41.7530677940	   490	 7.51	 0.595	001.46893529	-41.75306779
001.4781190632	+18.2350030654	   493	 7.45	 0.596	001.47811906	+18.23500307
001.4863809312	+24.5690045990	   496	 6.90	 1.564	001.48638093	+24.56900460
001.4876637245	+49.6223434492	   497	 7.55	 0.300	001.48766372	+49.62234345
001.4928008431	+44.7393812225	   498	 7.93	 0.239	001.49280084	+44.73938122
001.5022284221	+28.2769491107	   502	 6.62	 1.531	001.50222842	+28.27694911
001.5044062479	+16.4520775725	   503	 7.89	 0.930	001.50440625	+16.45207757
001.5135935784	+24.9166003193	   504	 7.51	 1.112	001.51359358	+24.91660032
001.5141087933	+63.6796563096	   505	 7.36	 0.126	001.51410879	+63.67965631
001.5177222444	+40.4185301349	   508	 6.65	 0.912	001.51772224	+40.41853013
001.5334784543	+09.7149381899	   510	 7.80	 0.501	001.53347845	+09.71493819
001.5378153468	-29.1513818674	   512	 7.90	-0.030	001.53781535	-29.15138187
001.5658925487	+58.4367328458	   518	 5.98	 0.687	001.56589255	+58.43673285
001.5702164240	-64.2404731386	   519	 7.92	 0.459	001.57021642	-64.24047314
001.5705940734	-10.7784773703	   520	 7.60	 1.539	001.57059407	-10.77847737
001.5798976514	-49.0751911067	   522	 5.70	 0.519	001.57989765	-49.07519111
001.5842004340	+40.8987455351	   525	 6.93	 1.086	001.58420043	+40.89874554
001.5843099352	+60.4571212619	   526	 7.97	 0.256	001.58430994	+60.45712126
001.6040432784	-18.0382521049	   529	 7.31	 0.402	001.60404328	-18.03825210
001.6105827123	+64.1961686143	   531	 5.57	-0.023	001.61058271	+64.19616861
001.6480838806	+28.5534039603	   540	 6.68	 0.986	001.64808388	+28.55340396
001.6532665175	+29.0215017106	   544	 6.07	 0.752	001.65326652	+29.02150171
001.6618836513	-36.0847696724	   546	 7.71	 1.038	001.66188365	-36.08476967
001.7086927520	-23.1075398847	   560	 6.19	 0.386	001.70869275	-23.10753988
001.7113154663	+31.1304226088	   563	 7.93	 1.107	001.71131547	+31.13042261
001.7220342236	-38.8776675579	   567	 6.91	 1.123	001.72203422	-38.87766756
001.7347367561	-43.9852293610	   573	 7.62	 0.955	001.73473676	-43.98522936
001.7672431034	+06.8755479274	   581	 7.44	 0.203	001.76724310	+06.87554793
001.7959015140	+46.7569779943	   591	 7.92	 1.054	001.79590151	+46.75697799
001.8062034208	-76.7309287666	   596	 7.56	 0.419	001.80620342	-76.73092877
001.8074453282	+73.2102966567	   597	 7.88	 0.407	001.80744533	+73.21029666
001.8102862627	+20.5557139094	   598	 7.99	 1.441	001.81028626	+20.55571391
001.8261111296	-17.3869896619	   602	 6.20	 0.133	001.82611113	-17.38698966
001.8266143501	+07.7035583144	   603	 7.64	 0.493	001.82661435	+07.70355831
001.8419156781	-56.8369066700	   605	 7.48	 1.532	001.84191568	-56.83690667
001.8439319850	-25.3566489653	   606	 7.06	 0.463	001.84393198	-25.35664897
001.8440137336	+26.4506005947	   607	 7.33	 1.011	001.84401373	+26.45060059
001.8672164215	-56.0114828611	   612	 7.48	 0.466	001.86721642	-56.01148286
001.8965933959	+31.6690006372	   619	 6.87	 1.124	001.89659340	+31.66900064
001.9024359365	-62.3150949603	   621	 7.50	 1.703	001.90243594	-62.31509496
001.9040295382	-86.0387591543	   620	 7.39	-0.018	001.90402954	-86.03875915
001.9058715361	+52.7729691403	   622	 7.56	 0.900	001.90587154	+52.77296914
001.9071018906	+40.0784984197	   625	 7.39	 1.008	001.90710189	+40.07849842
001.9080096505	+40.1479536768	   626	 6.73	 0.951	001.90800965	+40.14795368
001.9206639170	-65.9324275317	   631	 6.83	 1.158	001.92066392	-65.93242753
001.9296095535	+37.1854429822	   634	 7.44	 0.478	001.92960955	+37.18544298
001.9338048608	-02.5486794774	   635	 6.43	-0.146	001.93380486	-02.54867948
001.9454163715	-22.5085597845	   636	 5.93	 0.141	001.94541637	-22.50855978
001.9624105709	+38.7217322596	   640	 7.66	 0.181	001.96241057	+38.72173226
001.9670239584	+55.5770406099	   641	 7.82	 0.610	001.96702396	+55.57704061
001.9974562900	-78.2109914119	   647	 7.79	 1.450	001.99745629	-78.21099141
001.9972879240	-18.6847270411	   646	 7.58	 1.271	001.99728792	-18.68472704
002.0009801974	-07.5446967646	   649	 7.85	 0.505	002.00098020	-07.54469676
002.0014468670	-78.5987593883	   648	 7.18	 0.156	002.00144687	-78.59875939
002.0031744985	+29.8375130197	   650	 7.54	 0.408	002.00317450	+29.83751302
002.0071389080	+31.3911608739	   652	 7.12	 0.184	002.00713891	+31.39116087
002.0145307029	-33.5293260537	   655	 5.67	 1.119	002.01453070	-33.52932605
002.0399917634	+31.3789983313	   659	 7.27	 0.207	002.03999176	+31.37899833
002.0504006176	-02.4477107868	   664	 6.18	 1.366	002.05040062	-02.44771079
002.0681778079	-14.8244918156	   669	 7.04	 0.624	002.06817781	-14.82449182
002.0730522215	-08.8241121079	   671	 5.99	 1.034	002.07305222	-08.82411211
002.0922919682	+03.4406438631	   675	 8.00	 1.193	002.09229197	+03.44064386
002.0969107134	+29.0904319904	   677	 2.07	-0.038	002.09691071	+29.09043199
002.1072726525	+06.6168051125	   682	 7.59	 0.626	002.10727265	+06.61680511
002.1152621900	-24.0937333237	   688	 7.59	 0.508	002.11526219	-24.09373332
002.1186096770	+34.9345466474	   689	 7.41	 0.606	002.11860968	+34.93454665
002.1258281037	+52.3364576196	   691	 7.78	 0.358	002.12582810	+52.33645762
002.1287101655	-06.7921522458	   692	 7.76	 1.618	002.12871017	-06.79215225
002.1368990184	+63.2040404144	   695	 6.41	 0.998	002.13689902	+63.20404041
002.1395703101	-17.5781550824	   696	 6.11	 1.664	002.13957031	-17.57815508
002.1474566997	+53.2541004642	   697	 7.76	 0.415	002.14745670	+53.25410046
002.1615731309	-74.2384550710	   698	 7.38	 1.326	002.16157313	-74.23845507
002.1705756993	+36.6271250923	   699	 6.21	 0.504	002.17057570	+36.62712509
002.1796327743	-02.2225828774	   700	 7.05	 0.963	002.17963277	-02.22258288
002.1834915813	+74.2147653332	   701	 7.44	-0.006	002.18349158	+74.21476533
002.1911491680	+14.1419757994	   704	 7.84	 1.125	002.19114917	+14.14197580
002.1924467790	-34.7943732051	   706	 7.88	 0.473	002.19244678	-34.79437321
002.2020712078	-47.0607734850	   709	 7.81	 0.481	002.20207121	-47.06077348
002.2031128020	+08.0218680775	   710	 7.43	 0.296	002.20311280	+08.02186808
002.2078856324	+40.8410187050	   712	 7.58	 0.994	002.20788563	+40.84101870
002.2083489606	+40.4945492699	   714	 6.82	 1.568	002.20834896	+40.49454927
002.2172355557	+25.4629848113	   716	 6.24	 0.976	002.21723556	+25.46298481
002.2176786681	+00.6924529206	   717	 7.31	 1.430	002.21767867	+00.69245292
002.2235188750	-22.1795175422	   720	 7.13	 1.640	002.22351888	-22.17951754
002.2468328492	-21.2063531829	   724	 7.21	 1.087	002.24683285	-21.20635318
002.2486617336	-39.7371590539	   726	 7.72	 0.620	002.24866173	-39.73715905
002.2506713889	+28.2475427903	   728	 6.47	 0.242	002.25067139	+28.24754279
002.2601029019	+18.2119631404	   729	 5.57	 1.043	002.26010290	+18.21196314
002.2599739747	-54.0019312182	   730	 6.32	 0.738	002.25997397	-54.00193122
002.2611733785	-35.0918790912	   732	 7.78	 0.417	002.26117338	-35.09187909
002.2653089016	+40.8428592180	   737	 6.93	 0.800	002.26530890	+40.84285922
002.2679582199	+19.9246885496	   740	 7.11	 0.476	002.26795822	+19.92468855
002.2857558317	-50.1668023929	   744	 7.05	-0.122	002.28575583	-50.16680239
002.2945211312	+59.1497795955	   746	 2.28	 0.380	002.29452113	+59.14977960
002.3156133295	+25.2819605952	   754	 7.78	 0.680	002.31561333	+25.28196060
002.3198032553	+65.0708917285	   755	 7.02	 0.932	002.31980326	+65.07089173
002.3310181375	+17.5339216054	   759	 7.07	 0.644	002.33101814	+17.53392161
002.3340654954	+79.7145454358	   760	 6.01	 0.203	002.33406550	+79.71454544
002.3377859465	-27.9879281811	   761	 5.42	 0.414	002.33778595	-27.98792818
002.3526749453	-45.7474261752	   765	 3.88	 1.013	002.35267495	-45.74742618
002.3649339993	+46.3878720161	   767	 7.17	 0.031	002.36493400	+46.38787202
002.3673040506	+19.1157927631	   768	 7.94	 0.660	002.36730405	+19.11579276
002.3668140714	+01.2440354897	   769	 7.27	 1.220	002.36681407	+01.24403549
002.3767611197	-10.1875418818	   771	 7.94	 1.439	002.37676112	-10.18754188
002.3792517485	+19.5590939404	   773	 7.59	 1.005	002.37925175	+19.55909394
002.4222799137	-63.5897890582	   785	 7.40	 1.571	002.42227991	-63.58978906
002.4671558328	-62.2967943252	   798	 6.34	 0.164	002.46715583	-62.29679433
002.4684332541	+51.4230201853	   800	 7.93	 1.301	002.46843325	+51.42302019
002.4791524729	+04.8325082529	   802	 7.77	 1.219	002.47915247	+04.83250825
002.4792523431	-02.5612659854	   803	 6.84	 1.611	002.47925234	-02.56126599
002.4865535493	-44.6664401177	   805	 7.19	 0.974	002.48655355	-44.66644012
002.4922440924	-65.3571104236	   809	 7.93	 0.964	002.49224409	-65.35711042
002.4962501450	-25.8747083929	   810	 7.66	 0.139	002.49625014	-25.87470839
002.5091761696	+11.1458130661	   813	 5.54	-0.064	002.50917617	+11.14581307
002.5090652448	-82.2240469889	   814	 5.29	 1.049	002.50906524	-82.22404699
002.5133036020	+46.3903136605	   817	 7.51	 0.251	002.51330360	+46.39031366
002.5138675127	-08.9741531077	   818	 7.10	 0.345	002.51386751	-08.97415311
002.5185718706	-79.0018476040	   819	 7.88	 0.476	002.51857187	-79.00184760
002.5228785044	+25.1979078681	   824	 7.77	 1.603	002.52287850	+25.19790787
002.5334040601	-78.3007169805	   829	 6.97	 1.377	002.53340406	-78.30071698
002.5587584023	+60.0260469125	   836	 7.83	 1.311	002.55875840	+60.02604691
